dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_ENTJ
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,gen,0
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,gen,0.47
GaokaoBench_2010-2022_History_MCQs,3613b5,score,gen,0.7
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,gen,0.67
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,gen,0.62
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,gen,0
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,gen,1.61
GaokaoBench_2010-2013_English_MCQs,01b50f,score,gen,1.9
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,gen,0
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,gen,17.17
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,gen,0
GaokaoBench_2010-2022_Geography_MCQs,862192,score,gen,12.63
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,gen,2.98
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,gen,6.25
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,gen,0
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,gen,0
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,gen,0
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,gen,0
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,gen,0
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,gen,0
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,gen,0
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,gen,0
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,gen,0
agieval-gaokao-chinese,774562,accuracy,gen,3.66
agieval-gaokao-english,cb5bc6,accuracy,gen,6.86
agieval-gaokao-geography,2ca56f,accuracy,gen,5.03
agieval-gaokao-history,9c3ae0,accuracy,gen,5.53
agieval-gaokao-biology,277c85,accuracy,gen,10
agieval-gaokao-chemistry,d62fd4,accuracy,gen,7.73
agieval-gaokao-mathqa,e2ea74,accuracy,gen,2.56
agieval-logiqa-zh,03474d,accuracy,gen,13.36
agieval-lsat-ar,ed1edf,accuracy,gen,0.43
agieval-lsat-lr,ec6882,accuracy,gen,2.75
agieval-lsat-rc,33077d,accuracy,gen,2.23
agieval-logiqa-en,c6ee60,accuracy,gen,2
agieval-sat-math,6c970d,accuracy,gen,3.64
agieval-sat-en,4e3fef,accuracy,gen,12.62
agieval-sat-en-without-passage,4e3fef,accuracy,gen,2.91
agieval-aqua-rat,c090ca,accuracy,gen,0.79
agieval-gaokao-physics,7.70E+06,accuracy,gen,5
agieval-jec-qa-kd,b1e586,accuracy,gen,4.8
agieval-jec-qa-ca,47bc29,accuracy,gen,6.6
agieval-gaokao-mathcloze,b2c3c3,score,gen,0.85
agieval-math,e0c6d9,score,gen,0.6
ceval-computer_network,db9ce2,accuracy,gen,36.84
ceval-operating_system,1c2571,accuracy,gen,47.37
ceval-computer_architecture,a74dad,accuracy,gen,19.05
ceval-college_programming,4ca32a,accuracy,gen,27.03
ceval-college_physics,963fa8,accuracy,gen,21.05
ceval-college_chemistry,e78857,accuracy,gen,20.83
ceval-advanced_mathematics,ce03e2,accuracy,gen,21.05
ceval-probability_and_statistics,65e812,accuracy,gen,22.22
ceval-discrete_mathematics,e894ae,accuracy,gen,37.5
ceval-electrical_engineer,ae42b9,accuracy,gen,24.32
ceval-metrology_engineer,ee34ea,accuracy,gen,29.17
ceval-high_school_mathematics,1dc5bf,accuracy,gen,16.67
ceval-high_school_physics,adf25f,accuracy,gen,47.37
ceval-high_school_chemistry,2ed27f,accuracy,gen,26.32
ceval-high_school_biology,8e2b9a,accuracy,gen,15.79
ceval-middle_school_mathematics,bee8d5,accuracy,gen,15.79
ceval-middle_school_biology,86817c,accuracy,gen,23.81
ceval-middle_school_physics,8accf6,accuracy,gen,31.58
ceval-middle_school_chemistry,167a15,accuracy,gen,40
ceval-veterinary_medicine,b4e08d,accuracy,gen,17.39
ceval-college_economics,f3f4e6,accuracy,gen,34.55
ceval-business_administration,c1614e,accuracy,gen,27.27
ceval-marxism,cf874c,accuracy,gen,21.05
ceval-mao_zedong_thought,51c7a4,accuracy,gen,29.17
ceval-education_science,591fee,accuracy,gen,37.93
ceval-teacher_qualification,4e4ced,accuracy,gen,29.55
ceval-high_school_politics,5c0de2,accuracy,gen,21.05
ceval-high_school_geography,865461,accuracy,gen,26.32
ceval-middle_school_politics,5be3e7,accuracy,gen,23.81
ceval-middle_school_geography,8a63be,accuracy,gen,33.33
ceval-modern_chinese_history,fc01af,accuracy,gen,43.48
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,36.84
ceval-logic,f5b022,accuracy,gen,31.82
ceval-law,a110a1,accuracy,gen,20.83
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,26.09
ceval-art_studies,2a1300,accuracy,gen,18.18
ceval-professional_tour_guide,4e673e,accuracy,gen,20.69
ceval-legal_professional,ce8787,accuracy,gen,26.09
ceval-high_school_chinese,315705,accuracy,gen,15.79
ceval-high_school_history,7eb30a,accuracy,gen,30
ceval-middle_school_history,48ab4a,accuracy,gen,18.18
ceval-civil_servant,87d061,accuracy,gen,23.4
ceval-sports_science,70f27b,accuracy,gen,21.05
ceval-plant_protection,8941f9,accuracy,gen,36.36
ceval-basic_medicine,c409d6,accuracy,gen,42.11
ceval-clinical_medicine,49e82d,accuracy,gen,22.73
ceval-urban_and_rural_planner,95b885,accuracy,gen,26.09
ceval-accountant,2837,accuracy,gen,30.61
ceval-fire_engineer,bc23f5,accuracy,gen,29.03
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,gen,19.35
ceval-tax_accountant,3a5e3c,accuracy,gen,20.41
ceval-physician,6e277d,accuracy,gen,18.37
cmmlu-agronomy,4c7f2c,accuracy,gen,24.26
cmmlu-anatomy,ea09bf,accuracy,gen,16.22
cmmlu-ancient_chinese,f7c97f,accuracy,gen,2.44
cmmlu-arts,dd77b8,accuracy,gen,2.5
cmmlu-astronomy,1e49db,accuracy,gen,11.52
cmmlu-business_ethics,dc78cb,accuracy,gen,22.49
cmmlu-chinese_civil_service_exam,1de82c,accuracy,gen,2.5
cmmlu-chinese_driving_rule,b8a42b,accuracy,gen,5.34
cmmlu-chinese_food_culture,2d568a,accuracy,gen,4.41
cmmlu-chinese_foreign_policy,dc2427,accuracy,gen,17.76
cmmlu-chinese_history,4cc7ed,accuracy,gen,4.02
cmmlu-chinese_literature,af3c41,accuracy,gen,17.65
cmmlu-chinese_teacher_qualification,87de11,accuracy,gen,5.03
cmmlu-clinical_knowledge,c55b1d,accuracy,gen,22.36
cmmlu-college_actuarial_science,d3c360,accuracy,gen,8.49
cmmlu-college_education,df8790,accuracy,gen,24.3
cmmlu-college_engineering_hydrology,673f23,accuracy,gen,26.42
cmmlu-college_law,524c3a,accuracy,gen,16.67
cmmlu-college_mathematics,e4ebad,accuracy,gen,10.48
cmmlu-college_medical_statistics,55af35,accuracy,gen,13.21
cmmlu-college_medicine,702f48,accuracy,gen,14.65
cmmlu-computer_science,637007,accuracy,gen,19.61
cmmlu-computer_security,932b6b,accuracy,gen,19.3
cmmlu-conceptual_physics,cfc077,accuracy,gen,21.77
cmmlu-construction_project_management,968a4a,accuracy,gen,23.02
cmmlu-economics,ddaf7c,accuracy,gen,23.9
cmmlu-education,c35963,accuracy,gen,20.25
cmmlu-electrical_engineering,70e98a,accuracy,gen,12.21
cmmlu-elementary_chinese,cbcd6a,accuracy,gen,20.63
cmmlu-elementary_commonsense,a67f37,accuracy,gen,22.22
cmmlu-elementary_information_and_technology,d34d2a,accuracy,gen,16.81
cmmlu-elementary_mathematics,a9d403,accuracy,gen,24.78
cmmlu-ethnology,31955f,accuracy,gen,16.3
cmmlu-food_science,741d8e,accuracy,gen,20.28
cmmlu-genetics,c326f7,accuracy,gen,22.73
cmmlu-global_facts,0a1236,accuracy,gen,12.75
cmmlu-high_school_biology,2be811,accuracy,gen,7.69
cmmlu-high_school_chemistry,d63c05,accuracy,gen,11.36
cmmlu-high_school_geography,5cd489,accuracy,gen,5.08
cmmlu-high_school_mathematics,6b2087,accuracy,gen,23.17
cmmlu-high_school_physics,3df353,accuracy,gen,11.82
cmmlu-high_school_politics,7a88d8,accuracy,gen,4.9
cmmlu-human_sexuality,54ac98,accuracy,gen,3.17
cmmlu-international_law,0f5d40,accuracy,gen,16.76
cmmlu-journalism,a4f6a0,accuracy,gen,21.51
cmmlu-jurisprudence,7843da,accuracy,gen,16.3
cmmlu-legal_and_moral_basis,f906b0,accuracy,gen,19.63
cmmlu-logical,15a71b,accuracy,gen,1.63
cmmlu-machine_learning,bc6ad4,accuracy,gen,10.66
cmmlu-management,e5e8db,accuracy,gen,23.33
cmmlu-marketing,8b4c18,accuracy,gen,16.11
