dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_ESTP
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,gen,1.83
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,gen,0.93
GaokaoBench_2010-2022_History_MCQs,3613b5,score,gen,13.94
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,gen,10.67
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,gen,19.06
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,gen,1.56
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,gen,4.84
GaokaoBench_2010-2013_English_MCQs,01b50f,score,gen,13.33
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,gen,0.00
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,gen,14.67
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,gen,0.00
GaokaoBench_2010-2022_Geography_MCQs,862192,score,gen,16.84
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,gen,2.77
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,gen,13.75
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,gen,0.00
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,gen,0.00
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,gen,0.00
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,gen,0.00
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,gen,0.00
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,gen,0.00
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,gen,0.00
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,gen,0.00
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,gen,0.00
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,gen,0.00
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,gen,0.00
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,gen,0.00
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,gen,0.00
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,gen,0.00
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,gen,0.00
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,gen,0.00
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,gen,0.00
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,gen,0.00
agieval-gaokao-chinese,774562,accuracy,gen,4.47
agieval-gaokao-english,cb5bc6,accuracy,gen,5.23
agieval-gaokao-geography,2ca56f,accuracy,gen,9.05
agieval-gaokao-history,9c3ae0,accuracy,gen,8.51
agieval-gaokao-biology,277c85,accuracy,gen,15.71
agieval-gaokao-chemistry,d62fd4,accuracy,gen,10.63
agieval-gaokao-mathqa,e2ea74,accuracy,gen,4.84
agieval-logiqa-zh,03474d,accuracy,gen,20.74
agieval-lsat-ar,ed1edf,accuracy,gen,2.61
agieval-lsat-lr,ec6882,accuracy,gen,4.71
agieval-lsat-rc,33077d,accuracy,gen,5.20
agieval-logiqa-en,c6ee60,accuracy,gen,3.38
agieval-sat-math,6c970d,accuracy,gen,3.64
agieval-sat-en,4e3fef,accuracy,gen,12.14
agieval-sat-en-without-passage,4e3fef,accuracy,gen,5.34
agieval-aqua-rat,c090ca,accuracy,gen,1.18
agieval-gaokao-physics,7704e3,accuracy,gen,12.00
agieval-jec-qa-kd,b1e586,accuracy,gen,9.40
agieval-jec-qa-ca,47bc29,accuracy,gen,10.30
agieval-gaokao-mathcloze,b2c3c3,score,gen,1.69
agieval-math,e0c6d9,score,gen,0.40
ceval-computer_network,db9ce2,accuracy,gen,42.11
ceval-operating_system,1c2571,accuracy,gen,47.37
ceval-computer_architecture,a74dad,accuracy,gen,28.57
ceval-college_programming,4ca32a,accuracy,gen,24.32
ceval-college_physics,963fa8,accuracy,gen,10.53
ceval-college_chemistry,e78857,accuracy,gen,20.83
ceval-advanced_mathematics,ce03e2,accuracy,gen,10.53
ceval-probability_and_statistics,65e812,accuracy,gen,33.33
ceval-discrete_mathematics,e894ae,accuracy,gen,37.50
ceval-electrical_engineer,ae42b9,accuracy,gen,29.73
ceval-metrology_engineer,ee34ea,accuracy,gen,41.67
ceval-high_school_mathematics,1dc5bf,accuracy,gen,11.11
ceval-high_school_physics,adf25f,accuracy,gen,36.84
ceval-high_school_chemistry,2ed27f,accuracy,gen,36.84
ceval-high_school_biology,8e2b9a,accuracy,gen,31.58
ceval-middle_school_mathematics,bee8d5,accuracy,gen,21.05
ceval-middle_school_biology,86817c,accuracy,gen,23.81
ceval-middle_school_physics,8accf6,accuracy,gen,47.37
ceval-middle_school_chemistry,167a15,accuracy,gen,35.00
ceval-veterinary_medicine,b4e08d,accuracy,gen,30.43
ceval-college_economics,f3f4e6,accuracy,gen,25.45
ceval-business_administration,c1614e,accuracy,gen,42.42
ceval-marxism,cf874c,accuracy,gen,36.84
ceval-mao_zedong_thought,51c7a4,accuracy,gen,33.33
ceval-education_science,591fee,accuracy,gen,41.38
ceval-teacher_qualification,4e4ced,accuracy,gen,22.73
ceval-high_school_politics,5c0de2,accuracy,gen,31.58
ceval-high_school_geography,865461,accuracy,gen,15.79
ceval-middle_school_politics,5be3e7,accuracy,gen,33.33
ceval-middle_school_geography,8a63be,accuracy,gen,50.00
ceval-modern_chinese_history,fc01af,accuracy,gen,26.09
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,36.84
ceval-logic,f5b022,accuracy,gen,31.82
ceval-law,a110a1,accuracy,gen,25.00
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,30.43
ceval-art_studies,2a1300,accuracy,gen,21.21
ceval-professional_tour_guide,4e673e,accuracy,gen,24.14
ceval-legal_professional,ce8787,accuracy,gen,30.43
ceval-high_school_chinese,315705,accuracy,gen,15.79
ceval-high_school_history,7eb30a,accuracy,gen,25.00
ceval-middle_school_history,48ab4a,accuracy,gen,31.82
ceval-civil_servant,87d061,accuracy,gen,27.66
ceval-sports_science,70f27b,accuracy,gen,31.58
ceval-plant_protection,8941f9,accuracy,gen,31.82
ceval-basic_medicine,c409d6,accuracy,gen,47.37
ceval-clinical_medicine,49e82d,accuracy,gen,22.73
ceval-urban_and_rural_planner,95b885,accuracy,gen,30.43
