dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_INFP
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,gen,17.43
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,gen,17.29
GaokaoBench_2010-2022_History_MCQs,3613b5,score,gen,5.57
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,gen,7.33
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,gen,9.38
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,gen,0
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,gen,10.48
GaokaoBench_2010-2013_English_MCQs,01b50f,score,gen,13.33
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,gen,0
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,gen,13.67
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,gen,3.08
GaokaoBench_2010-2022_Geography_MCQs,862192,score,gen,9.47
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,gen,9.57
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,gen,7.5
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,gen,0
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,gen,0
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,gen,0
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,gen,0
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,gen,0
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,gen,0
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,gen,0
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,gen,0
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,gen,0
agieval-gaokao-chinese,774562,accuracy,gen,10.16
agieval-gaokao-english,cb5bc6,accuracy,gen,11.44
agieval-gaokao-geography,2ca56f,accuracy,gen,16.08
agieval-gaokao-history,9c3ae0,accuracy,gen,16.17
agieval-gaokao-biology,277c85,accuracy,gen,27.14
agieval-gaokao-chemistry,d62fd4,accuracy,gen,17.39
agieval-gaokao-mathqa,e2ea74,accuracy,gen,11.4
agieval-logiqa-zh,03474d,accuracy,gen,25.19
agieval-lsat-ar,ed1edf,accuracy,gen,1.74
agieval-lsat-lr,ec6882,accuracy,gen,2.75
agieval-lsat-rc,33077d,accuracy,gen,2.6
agieval-logiqa-en,c6ee60,accuracy,gen,1.84
agieval-sat-math,6c970d,accuracy,gen,2.27
agieval-sat-en,4e3fef,accuracy,gen,11.17
agieval-sat-en-without-passage,4e3fef,accuracy,gen,2.43
agieval-aqua-rat,c090ca,accuracy,gen,0.39
agieval-gaokao-physics,7.70E+06,accuracy,gen,23
agieval-jec-qa-kd,b1e586,accuracy,gen,11.8
agieval-jec-qa-ca,47bc29,accuracy,gen,14.9
agieval-gaokao-mathcloze,b2c3c3,score,gen,0.85
agieval-math,e0c6d9,score,gen,0.5
ceval-computer_network,db9ce2,accuracy,gen,26.32
ceval-operating_system,1c2571,accuracy,gen,42.11
ceval-computer_architecture,a74dad,accuracy,gen,19.05
ceval-college_programming,4ca32a,accuracy,gen,37.84
ceval-college_physics,963fa8,accuracy,gen,21.05
ceval-college_chemistry,e78857,accuracy,gen,16.67
ceval-advanced_mathematics,ce03e2,accuracy,gen,21.05
ceval-probability_and_statistics,65e812,accuracy,gen,38.89
ceval-discrete_mathematics,e894ae,accuracy,gen,37.5
ceval-electrical_engineer,ae42b9,accuracy,gen,40.54
ceval-metrology_engineer,ee34ea,accuracy,gen,25
ceval-high_school_mathematics,1dc5bf,accuracy,gen,33.33
ceval-high_school_physics,adf25f,accuracy,gen,21.05
ceval-high_school_chemistry,2ed27f,accuracy,gen,31.58
ceval-high_school_biology,8e2b9a,accuracy,gen,15.79
ceval-middle_school_mathematics,bee8d5,accuracy,gen,36.84
ceval-middle_school_biology,86817c,accuracy,gen,28.57
ceval-middle_school_physics,8accf6,accuracy,gen,31.58
ceval-middle_school_chemistry,167a15,accuracy,gen,25
ceval-veterinary_medicine,b4e08d,accuracy,gen,13.04
ceval-college_economics,f3f4e6,accuracy,gen,29.09
ceval-business_administration,c1614e,accuracy,gen,33.33
ceval-marxism,cf874c,accuracy,gen,31.58
ceval-mao_zedong_thought,51c7a4,accuracy,gen,29.17
ceval-education_science,591fee,accuracy,gen,20.69
ceval-teacher_qualification,4e4ced,accuracy,gen,22.73
ceval-high_school_politics,5c0de2,accuracy,gen,36.84
ceval-high_school_geography,865461,accuracy,gen,26.32
ceval-middle_school_politics,5be3e7,accuracy,gen,28.57
ceval-middle_school_geography,8a63be,accuracy,gen,33.33
ceval-modern_chinese_history,fc01af,accuracy,gen,43.48
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,36.84
ceval-logic,f5b022,accuracy,gen,27.27
ceval-law,a110a1,accuracy,gen,20.83
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,21.74
ceval-art_studies,2a1300,accuracy,gen,24.24
ceval-professional_tour_guide,4e673e,accuracy,gen,20.69
ceval-legal_professional,ce8787,accuracy,gen,30.43
ceval-high_school_chinese,315705,accuracy,gen,26.32
ceval-high_school_history,7eb30a,accuracy,gen,15
ceval-middle_school_history,48ab4a,accuracy,gen,13.64
ceval-civil_servant,87d061,accuracy,gen,36.17
ceval-sports_science,70f27b,accuracy,gen,47.37
ceval-plant_protection,8941f9,accuracy,gen,22.73
ceval-basic_medicine,c409d6,accuracy,gen,47.37
ceval-clinical_medicine,49e82d,accuracy,gen,31.82
ceval-urban_and_rural_planner,95b885,accuracy,gen,32.61
ceval-accountant,2837,accuracy,gen,36.73
ceval-fire_engineer,bc23f5,accuracy,gen,16.13
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,gen,22.58
ceval-tax_accountant,3a5e3c,accuracy,gen,22.45
ceval-physician,6e277d,accuracy,gen,30.61
cmmlu-agronomy,4c7f2c,accuracy,gen,24.26
cmmlu-anatomy,ea09bf,accuracy,gen,22.97
cmmlu-ancient_chinese,f7c97f,accuracy,gen,23.78
cmmlu-arts,dd77b8,accuracy,gen,19.38
cmmlu-astronomy,1e49db,accuracy,gen,10.91
cmmlu-business_ethics,dc78cb,accuracy,gen,4.31
cmmlu-chinese_civil_service_exam,1de82c,accuracy,gen,13.75
cmmlu-chinese_driving_rule,b8a42b,accuracy,gen,11.45
cmmlu-chinese_food_culture,2d568a,accuracy,gen,17.65
cmmlu-chinese_foreign_policy,dc2427,accuracy,gen,7.48
cmmlu-chinese_history,4cc7ed,accuracy,gen,8.36
cmmlu-chinese_literature,af3c41,accuracy,gen,21.08
cmmlu-chinese_teacher_qualification,87de11,accuracy,gen,15.64
cmmlu-clinical_knowledge,c55b1d,accuracy,gen,5.91
cmmlu-college_actuarial_science,d3c360,accuracy,gen,0.94
cmmlu-college_education,df8790,accuracy,gen,15.89
cmmlu-college_engineering_hydrology,673f23,accuracy,gen,10.38
cmmlu-college_law,524c3a,accuracy,gen,15.74
