dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_ISTP
GaokaoBench_2010-2022_Math_II_MCQs,5b0b29,score,gen,10.55
GaokaoBench_2010-2022_Math_I_MCQs,5b0b29,score,gen,5.14
GaokaoBench_2010-2022_History_MCQs,3613b5,score,gen,14.98
GaokaoBench_2010-2022_Biology_MCQs,d26e80,score,gen,14.67
GaokaoBench_2010-2022_Political_Science_MCQs,70fce9,score,gen,9.06
GaokaoBench_2010-2022_Physics_MCQs,8a0c30,score,gen,3.12
GaokaoBench_2010-2022_Chemistry_MCQs,852bbd,score,gen,6.45
GaokaoBench_2010-2013_English_MCQs,01b50f,score,gen,19.05
GaokaoBench_2010-2022_Chinese_Modern_Lit,e19c31,score,gen,0
GaokaoBench_2010-2022_English_Fill_in_Blanks,924021,score,gen,14
GaokaoBench_2012-2022_English_Cloze_Test,11f6ce,score,gen,0
GaokaoBench_2010-2022_Geography_MCQs,862192,score,gen,9.47
GaokaoBench_2010-2022_English_Reading_Comp,ffdef4,score,gen,3.19
GaokaoBench_2010-2022_Chinese_Lang_and_Usage_MCQs,ba10b2,score,gen,15
GaokaoBench_2010-2022_Math_I_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Math_II_Fill-in-the-Blank,9dd6c7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Famous_Passages_and_Sentences_Dictation,58053d,score,gen,0
GaokaoBench_2014-2022_English_Language_Cloze_Passage,d431f7,score,gen,0
GaokaoBench_2010-2022_Geography_Open-ended_Questions,475d13,score,gen,0
GaokaoBench_2010-2022_Chemistry_Open-ended_Questions,0bccc3,score,gen,0
GaokaoBench_2010-2022_Math_I_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_History_Open-ended_Questions,9fbad8,score,gen,0
GaokaoBench_2010-2022_Biology_Open-ended_Questions,e0cb29,score,gen,0
GaokaoBench_2010-2022_Math_II_Open-ended_Questions,8a0cf5,score,gen,0
GaokaoBench_2010-2022_Physics_Open-ended_Questions,423d19,score,gen,0
GaokaoBench_2010-2022_Political_Science_Open-ended_Questions,0eee0a,score,gen,0
GaokaoBench_2012-2022_English_Language_Error_Correction,6a3cae,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Ancient_Poetry_Reading,ee6cc7,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Practical_Text_Reading,4dea5a,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Literary_Text_Reading,979d8b,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Classical_Chinese_Reading,9de717,score,gen,0
GaokaoBench_2010-2022_Chinese_Language_Language_and_Writing_Skills_Open-ended_Questions,d2ed84,score,gen,0
agieval-gaokao-chinese,774562,accuracy,gen,2.03
agieval-gaokao-english,cb5bc6,accuracy,gen,6.54
agieval-gaokao-geography,2ca56f,accuracy,gen,5.03
agieval-gaokao-history,9c3ae0,accuracy,gen,5.11
agieval-gaokao-biology,277c85,accuracy,gen,10
agieval-gaokao-chemistry,d62fd4,accuracy,gen,6.28
agieval-gaokao-mathqa,e2ea74,accuracy,gen,3.13
agieval-logiqa-zh,03474d,accuracy,gen,13.06
agieval-lsat-ar,ed1edf,accuracy,gen,0
agieval-lsat-lr,ec6882,accuracy,gen,2.55
agieval-lsat-rc,33077d,accuracy,gen,1.86
agieval-logiqa-en,c6ee60,accuracy,gen,0.92
agieval-sat-math,6c970d,accuracy,gen,2.27
agieval-sat-en,4e3fef,accuracy,gen,13.59
agieval-sat-en-without-passage,4e3fef,accuracy,gen,2.91
agieval-aqua-rat,c090ca,accuracy,gen,0
agieval-gaokao-physics,7.70E+06,accuracy,gen,7.5
agieval-jec-qa-kd,b1e586,accuracy,gen,5.4
agieval-jec-qa-ca,47bc29,accuracy,gen,6.1
agieval-gaokao-mathcloze,b2c3c3,score,gen,1.69
agieval-math,e0c6d9,score,gen,0.1
ceval-computer_network,db9ce2,accuracy,gen,21.05
ceval-operating_system,1c2571,accuracy,gen,47.37
ceval-computer_architecture,a74dad,accuracy,gen,33.33
ceval-college_programming,4ca32a,accuracy,gen,29.73
ceval-college_physics,963fa8,accuracy,gen,15.79
ceval-college_chemistry,e78857,accuracy,gen,12.5
ceval-advanced_mathematics,ce03e2,accuracy,gen,5.26
ceval-probability_and_statistics,65e812,accuracy,gen,33.33
ceval-discrete_mathematics,e894ae,accuracy,gen,37.5
ceval-electrical_engineer,ae42b9,accuracy,gen,35.14
ceval-metrology_engineer,ee34ea,accuracy,gen,29.17
ceval-high_school_mathematics,1dc5bf,accuracy,gen,16.67
ceval-high_school_physics,adf25f,accuracy,gen,36.84
ceval-high_school_chemistry,2ed27f,accuracy,gen,36.84
ceval-high_school_biology,8e2b9a,accuracy,gen,15.79
